date,amount_ml,timestamp
2025-11-20,650,2025-11-20 23:46:00.320954
2025-11-20,250,2025-11-20 23:46:30.615084
2025-11-20,250,2025-11-20 23:46:39.805521
2025-11-20,250,2025-11-20 23:52:08.889650
2025-11-20,450,2025-11-20 23:52:28.458704
2025-11-20,300,2025-11-20 23:52:52.863851
2025-11-20,500,2025-11-20 23:53:04.807362
2025-11-20,700,2025-11-20 23:53:36.588283
2025-11-20,250,2025-11-20 23:59:56.271777
2025-11-21,300,2025-11-21 00:13:20.296373
2025-11-21,150,2025-11-21 00:18:07.124140
2025-11-21,200,2025-11-21 00:18:17.926337
